game_play_number,id,sequence_number,type_id,type_text,text,away_score,home_score,period_number,period_display_value,clock_display_value,scoring_play,score_value,team_id,athlete_id_1,athlete_id_2,athlete_id_3,wallclock,shooting_play,coordinate_x_raw,coordinate_y_raw,points_attempted,short_description,season,season_type,home_team_id,home_team_name,home_team_mascot,home_team_abbrev,home_team_name_alt,away_team_id,away_team_name,away_team_mascot,away_team_abbrev,away_team_name_alt,game_spread,home_favorite,game_spread_available,home_team_spread,qtr,time,clock_minutes,clock_seconds,home_timeout_called,away_timeout_called,half,game_half,lead_qtr,lead_half,start_quarter_seconds_remaining,start_half_seconds_remaining,start_game_seconds_remaining,end_quarter_seconds_remaining,end_half_seconds_remaining,end_game_seconds_remaining,period,lag_qtr,lag_half,coordinate_x,coordinate_y,game_date,game_date_time,type_abbreviation
11,40181062817,17,137,Turnaround Fade Away Jump Shot,Devin Booker misses 13-foot two point shot,1,0,1,1st Quarter,10:35,FALSE,0,21,3136193,,,2026-02-11T02:12:49Z,TRUE,29,13,2,Missed FG,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,10:35,10,35,FALSE,FALSE,1,1,1,1,635,1355,2795,633,1353,2793,1,1,1,28.75,-4,2026-02-10,2026-02-11T02:00:00Z,
12,40181062818,18,155,Defensive Rebound,Cooper Flagg defensive rebound,1,0,1,1st Quarter,10:33,FALSE,0,6,5041939,,,2026-02-11T02:12:51Z,FALSE,29,13,0,Rebound,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,10:33,10,33,FALSE,FALSE,1,1,1,1,633,1353,2793,627,1347,2787,1,1,1,-28.75,4,2026-02-10,2026-02-11T02:00:00Z,
13,40181062819,19,146,Running Pullup Jump Shot,Cooper Flagg misses running pullup jump shot,1,0,1,1st Quarter,10:27,FALSE,0,6,5041939,,,2026-02-11T02:12:57Z,TRUE,32,8,2,Missed FG,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,10:27,10,27,FALSE,FALSE,1,1,1,1,627,1347,2787,623,1343,2783,1,1,1,-33.75,7,2026-02-10,2026-02-11T02:00:00Z,
14,40181062820,20,155,Defensive Rebound,Mark Williams defensive rebound,1,0,1,1st Quarter,10:23,FALSE,0,21,4701232,,,2026-02-11T02:13:01Z,FALSE,32,8,0,Rebound,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,10:23,10,23,FALSE,FALSE,1,1,1,1,623,1343,2783,620,1340,2780,1,1,1,33.75,-7,2026-02-10,2026-02-11T02:00:00Z,
15,40181062821,21,109,Running Layup Shot,Max Christie blocks Royce O'Neale 's 4-foot running layup,1,0,1,1st Quarter,10:20,FALSE,0,21,2583632,4432582,,2026-02-11T02:13:05Z,TRUE,22,3,2,Missed FG,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,10:20,10,20,FALSE,FALSE,1,1,1,1,620,1340,2780,617,1337,2777,1,1,1,38.75,3,2026-02-10,2026-02-11T02:00:00Z,
16,40181062823,23,155,Defensive Rebound,Tyus Jones defensive rebound,1,0,1,1st Quarter,10:17,FALSE,0,6,3135046,,,2026-02-11T02:13:08Z,FALSE,22,3,0,Rebound,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,10:17,10,17,FALSE,FALSE,1,1,1,1,617,1337,2777,612,1332,2772,1,1,1,-38.75,-3,2026-02-10,2026-02-11T02:00:00Z,
17,40181062824,24,113,Running Jump Shot,Tyus Jones misses 25-foot running jump shot,1,0,1,1st Quarter,10:12,FALSE,0,6,3135046,,,2026-02-11T02:13:12Z,TRUE,35,23,3,Missed 3PT,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,10:12,10,12,FALSE,FALSE,1,1,1,1,612,1332,2772,612,1332,2772,1,1,1,-18.75,10,2026-02-10,2026-02-11T02:00:00Z,
18,40181062825,25,155,Defensive Rebound,Royce O'Neale defensive rebound,1,0,1,1st Quarter,10:12,FALSE,0,21,2583632,,,2026-02-11T02:13:12Z,FALSE,35,23,0,Rebound,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,10:12,10,12,FALSE,FALSE,1,1,1,1,612,1332,2772,601,1321,2761,1,1,1,18.75,-10,2026-02-10,2026-02-11T02:00:00Z,
19,40181062826,26,114,Turnaround Jump Shot,Dillon Brooks makes 15-foot turnaround jump shot,1,2,1,1st Quarter,10:01,TRUE,2,21,3155526,,,2026-02-11T02:13:23Z,TRUE,36,11,2,+2 Points,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,10:01,10,1,FALSE,FALSE,1,1,1,1,601,1321,2761,578,1298,2738,1,1,1,30.75,-11,2026-02-10,2026-02-11T02:00:00Z,
20,40181062827,27,144,Driving Floating Jump Shot,Cooper Flagg misses driving floating jump shot,1,2,1,1st Quarter,9:38,FALSE,0,6,5041939,,,2026-02-11T02:13:47Z,TRUE,39,2,2,Missed FG,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,9:38,9,38,FALSE,FALSE,1,1,1,1,578,1298,2738,575,1295,2735,1,1,1,-39.75,14,2026-02-10,2026-02-11T02:00:00Z,
